	Sub0960_1_f	Sub0921_2_n	Sub0932_2_f	Sub0930_1_f	Sub0954_1_n	Sub0885_1_f	Sub0965_1_c	Sub0950_1_c	Sub0963_2_c	Sub0877_2_n	Sub0950_2_c	Sub0877_2_f	Sub0885_1_c	Sub0965_1_f	Sub0916_2_c	Sub0877_2_c	Sub0968_2_c	Sub0914_1_n	Sub0959_2_n	Sub0942_2_f	Sub0883_1_n	Sub0932_2_n	Sub0983_1_f	Sub0928_1_c	Sub0956_1_n	Sub0959_1_n	Sub0898_2_f	Sub0931_2_f	Sub0962_1_c	Sub0959_2_f	Sub0935_2_f	Sub0956_2_n	Sub0937_2_f	Sub0869_2_c	Sub0914_2_n	Sub0939_1_c	Sub0942_2_n	Sub0898_1_f	Sub0931_2_c	Sub0920_2_c	Sub0916_1_c	Sub0965_2_f	Sub0928_2_n	Sub0960_1_c	Sub0982_1_f	Sub0999_2_c	Sub0920_1_c	Sub0911_2_f	Sub0938_2_f	Sub0930_2_f	Sub0938_2_n	Sub0960_2_f	Sub0962_2_c	Sub0965_2_c	Sub0898_2_n	Sub0884_1_f	Sub0921_1_f	Sub0903_1_n	Sub0974_1_f	Sub0877_1_f	Sub0965_2_n	Sub0935_1_f	Sub0946_1_c	Sub0946_2_c	Sub0969_2_n	Sub0901_2_f	Sub0983_2_f	Sub0928_2_c	Sub0877_1_n	Sub0939_2_f	Sub0932_1_f	Sub0892_1_c	Sub0919_2_f	Sub0926_1_n	Sub0899_1_n	Sub0942_1_n	Sub0901_2_n	Sub0982_2_f	Sub0885_2_f	Sub0897_2_c	Sub0939_2_c	Sub0931_2_n	Sub0932_1_n	Sub0864_2_c	Sub0966_1_f	Sub0911_2_n	Sub0911_1_n	Sub0903_2_n	Sub0963_1_c	Sub0878_2_c	Sub0968_1_c	Sub0954_2_n	Sub0937_1_n	Sub0899_2_n	Sub0877_1_c	Sub0921_1_c	Sub0971_2_n	Sub0923_2_f	Sub0960_2_c	Sub0901_1_n	Sub0921_1_n	Sub0951_2_f	Sub0930_1_c	Sub0944_2_n	Sub0955_1_n	Sub0931_1_n	Sub0884_2_f	Sub0971_2_f	Sub0994_1_c	Sub0969_2_f	Sub0970_1_n	Sub0892_2_c	Sub0897_2_f	Sub0956_2_f	Sub0956_1_f	Sub0977_1_c	Sub0931_1_c	Sub0938_1_n	Sub0977_2_c	Sub0923_1_f	Sub0937_2_n	Sub0942_1_f	Sub0969_1_f	Sub0951_1_f	Sub0953_1_f	Sub0968_2_n	Sub0959_1_f	Sub0952_1_n	Sub0938_1_f	Sub0911_1_f	Sub0931_1_f	Sub0995_1_c	Sub0939_1_f	Sub0927_2_f	Sub0944_2_f	Sub0894_2_f	Sub0989_1_c	Sub0905_2_n	Sub0955_2_n	Sub0983_1_n	Sub0906_1_c	Sub0928_1_n	Sub0908_2_f	Sub0930_2_n	Sub0936_2_f	Sub0996_1_c	Sub0919_2_c	Sub0974_2_c	Sub0953_2_f	Sub0919_1_f	Sub0898_1_n	Sub0968_1_n	Sub0878_1_c	Sub0927_1_f	Sub0964_2_f	Sub0944_1_f	Sub0901_1_f	Sub0930_2_c	Sub0965_1_n	Sub0929_2_c	Sub0912_2_f	Sub0939_2_n	Sub0970_2_n	Sub0974_2_f	Sub0936_1_f	Sub0894_1_f	Sub0971_1_n	Sub0944_1_n	Sub0945_2_n	Sub0908_1_f	Sub0971_1_f	Sub0943_2_f	Sub0912_1_f	Sub0966_2_f	Sub0975_2_f	Sub0928_2_f	Sub0969_1_n	Sub0995_2_c	Sub0872_2_n	Sub0930_1_n	Sub0937_1_f	Sub0924_1_f	Sub0983_2_n	Sub0928_1_f	Sub0924_2_f	Sub0907_1_n	Sub0906_1_n	Sub0883_2_n	Sub0981_2_f	Sub0883_1_f	Sub0897_1_c	Sub0871_2_f	Sub0907_2_n	Sub0988_1_f	Sub0912_2_n	Sub0926_2_n	Sub0921_2_c	Sub0871_1_n	Sub0999_1_c	Sub0869_1_c	Sub0988_2_f	Sub0989_2_c	Sub0939_1_n	Sub0871_1_f	Sub0906_1_f	Sub0978_2_n	Sub0975_1_f	Sub0994_2_c	Sub0936_1_n	Sub0949_1_f	Sub0949_2_f	Sub0908_2_c	Sub0974_1_c	Sub0886_2_n	Sub0978_1_n	Sub0919_1_c	Sub0929_1_c	Sub0955_1_f	Sub0952_2_n	Sub0912_1_n	Sub0981_2_n	Sub0906_2_c	Sub0897_1_f	Sub0871_2_n	Sub0964_1_f	Sub0872_1_n	Sub0896_1_f	Sub0943_1_f	Sub0981_1_f	Sub0883_1_c	Sub0974_1_n	Sub0883_2_c	Sub0955_2_f	Sub0906_2_f	Sub0996_2_c	Sub0981_1_n	Sub0896_2_f	Sub0908_1_c	Sub0945_1_n	Sub0886_2_f	Sub0905_1_n	Sub0883_2_f	Sub0886_1_f	Sub0936_2_n	Sub0886_1_n	Sub0906_2_n
CAG0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49905e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28843e-07	0	0	0	0	4.90923e-07	3.65895e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47093e-07	0	0	0	0	0	3.12116e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35321e-08	0	0	0	0	0	0	0	0	0	0	3.1253e-07	0	0	0	2.16797e-07	0	1.4545e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.106e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20197e-05	0	4.1459e-07	0	0	0	0	0	0	0	0	0	1.95157e-07	0	0	0	0
CAG0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87227e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06067e-07	0	0	0	7.72342e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19613e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45461e-07	5.65244e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85569e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.41589e-07	0	1.40993e-07	0	0	0	0	0	0	0	0	0	0	1.31461e-07	0	0	0	0	0	0	0	0	0	1.19157e-07	0	1.14784e-07	2.28274e-07	0	0	0	0	5.41991e-08	0	0	0	0	0	0	0	4.03054e-07	0	1.00212e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.06506e-08	0	0	0	0	0	0	0	0	7.48077e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13587e-07	0	2.59895e-08	0
CAG0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5554e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.80548e-07	0	0	0	0	0	0	0	0	0	5.93439e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64475e-07	0	0	0	0	0	0	0	1.12223e-06	0	0	2.405e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36524e-07	0	0	0	0	2.6282e-07	0	0	0	0	0	1.22531e-07	0	0	0	0	0	1.17956e-07	0	0	0	0	0	0	0	0	0	1.38904e-05	0	0	0	0	0	0	0	0	0	0	1.90034e-07	0	0	0	0	0	0	0	0	0	0	8.51001e-08	0	0	0	0	8.10663e-08	0	0	0	0	1.19578e-05	0	0	0	0	0	0	0	3.63445e-08	0	6.8605e-08	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15927e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.41991e-07	0	7.89131e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08748e-06	0	7.84922e-07	0	0	0	0	0	0	0	0	0	3.6114e-07	0	0	0	0
CAG0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00544e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82556e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.19147e-07	0	0	0	0	1.3141e-07	0	0	0	0	0	1.22223e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14197e-07	1.06983e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35792e-07	0	0	0	0	0	8.51001e-08	0	0	0	0	0	0	0	0	0	2.63849e-07	7.85911e-08	0	0	0	0	0	0	7.2689e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30625e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90852e-06	0	0	0	0	0	0	4.19559e-07	0	0	1.36387e-07	0	1.13699e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5954e-07	0	0	0	3.48439e-07	3.4559e-07	0	0	0	0	0	0	3.18385e-07	0	1.55189e-07	0	0	0	0	0	0	0	0	5.83331e-07	0	0	4.41723e-07	0	0	0	9.18723e-08	0	0	2.66322e-07	0	0	0	5.16965e-07	0	0	2.14267e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.19598e-07	0	0	0	0	0	1.17372e-06	0	0	0	0	0	0	1.29898e-06	0	0	0	0	0	0	0	0	4.94574e-07	0	0	0	0	1.80486e-07	7.25195e-08	0	0	0	0	2.7936e-07	6.91993e-07	0	0	0	1.88406e-07	1.32002e-07	0	0	2.60234e-07	0	1.27064e-07	0	0	1.22419e-07	0	0	0	0	0	2.29567e-07	2.28274e-07	3.34564e-07	5.50465e-07	0	0	1.35773e-06	4.33543e-07	2.14504e-07	0	0	0	0	1.01851e-07	3.513e-06	0	1.00212e-07	0	0	0	0	0	0	0	0	0	0	1.77124e-07	0	0	0	0	0	0	0	0	0	0	1.61301e-07	8.0021e-08	0	1.57799e-07	0	7.76601e-08	7.6872e-08	0	0	4.48846e-07	0	0	0	0	0	0	1.34729e-07	0	0	0	0	1.16828e-07	1.70521e-07	0	1.05895e-07	0	0
CAG0007	0	0	0	0	0	1.04056e-06	0	0	0	0	0	6.34687e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77129e-07	0	0	0	0	0	0	0	0	0	4.0916e-07	0	8.12135e-07	0	0	3.89865e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00805e-07	3.48439e-07	3.4559e-07	0	0	3.34772e-07	0	0	0	0	0	0	3.06681e-07	1.2065e-06	0	0	0	0	0	0	2.91665e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01971e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22068e-06	0	0	0	0	1.00056e-07	0	1.97526e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29716e-07	1.61815e-07	0	1.56058e-07	3.04793e-07	1.50807e-07	0	0	0	0	0	0	4.15196e-07	0	0	0	0	2.64005e-07	6.62132e-06	0	0	0	2.54128e-07	0	2.91251e-06	0	0	0	0	0	0	0	1.14137e-07	7.43476e-08	0	0	0	1.62597e-07	5.41929e-08	1.07252e-07	0	0	0	0	1.01851e-07	1.00764e-07	0	1.00212e-07	0	0	0	0	0	0	0	0	3.04289e-05	0	0	0	0	0	4.255e-08	0	0	8.25262e-08	0	0	0	6.87092e-07	5.33473e-08	0	0	0	1.24256e-06	0	0	0	7.48077e-08	0	0	2.07295e-07	0	0	0	6.73647e-08	0	0	2.29262e-06	0	7.85766e-08	5.68403e-08	0	0	0	0
CAG0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79634e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.74454e-07	0	0	9.54259e-07	0	0	0	0	0	0	0	0	4.10304e-07	0	0	0	7.89231e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01146e-06	0	0	0	0	0	0	3.10377e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59911e-07	0	0	0	0	0	0	0	0	0	0	1.19969e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0105e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62884e-07	0	0	0	0	0	0	0	0	3.12116e-07	3.04793e-07	4.52421e-07	0	0	0	7.03568e-08	0	0	0	0	2.66258e-07	0	0	0	1.24431e-06	0	0	0	0	0	0	3.67257e-07	0	0	0	0	0	0	0	1.44978e-06	0	5.46799e-08	0	4.46214e-06	1.08386e-07	2.16576e-06	2.14197e-07	0	1.06291e-07	0	0	0	0	0	0	0	0	2.52368e-07	0	0	0	9.16259e-08	0	0	8.85618e-08	0	0	8.53047e-08	0	0	0	0	0	0	0	0	1.03821e-07	0	0	0	6.21281e-07	0	5.30791e-07	0	7.48077e-08	3.72764e-07	0	1.0572e-05	0	0	0	6.73647e-08	6.66363e-08	0	2.54738e-07	0	0	1.15098e-05	0	2.44066e-07	0	0
CAG0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33161e-07	0	0	0	0	0	0	0	0	0	0	0	1.2025e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6037e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.76511e-07	0	0	0	0	7.97183e-08	0	0	3.01614e-07	0	0	0	0	0	0	0	2.09027e-07	0	0	1.32176e-07	0	0	0	1.30117e-07	0	0	0	0	0	0	0	0	0	0	1.14784e-07	0	0	0	0	0	0	0	0	0	3.20948e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.91033e-08	0	0	0	0	8.51001e-08	0	0	0	4.07535e-08	0	0	0	0	0	0	2.35773e-07	0	0	0	0	0	0	7.2689e-08	0	0	0	0	0	6.94666e-08	0	0	0	0	0	0	0	0	0
CAG0010	0	0	3.88797e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	5.98914e-07	1.18264e-06	1.17666e-06	0	0	3.45938e-06	0	0	5.30597e-06	6.93516e-07	0	0	0	0	0	6.18104e-06	0	0	0	0	0	0	0	0	2.48081e-07	0	0	0	1.43139e-06	0	0	0	0	0	0	0	0	0	0	0	2.03034e-06	0	0	0	0	0	0	0	1.68752e-06	0	0	0	0	0	8.19183e-06	0	0	0	4.27666e-06	0	0	0	0	2.94164e-06	0	0	3.18298e-06	0	0	0	0	0	5.99622e-07	0	2.07468e-06	0	0	2.62499e-06	0	2.85303e-07	1.09783e-06	0	0	0	1.10247e-06	0	0	0	2.64475e-07	2.59911e-07	0	2.32634e-06	1.28843e-07	2.62022e-06	7.76995e-06	0	2.49384e-06	2.7806e-05	3.76018e-05	0	2.39938e-07	0	0	0	0	0	3.18551e-06	0	0	2.17538e-07	2.14185e-07	0	0	0	4.48864e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04439e-06	0	7.80291e-07	0	0	1.45039e-07	0	0	1.40714e-07	0	0	6.13507e-06	0	0	0	1.36286e-06	0	0	0	3.38305e-06	0	0	0	0	0	9.73452e-07	0	0	0	3.53867e-07	0	0	0	0	5.46799e-08	5.46189e-08	0	4.21091e-06	0	1.2787e-06	6.28388e-07	1.06291e-07	0	0	0	0	1.53736e-06	0	0	0	0	0	1.49134e-06	0	4.12317e-07	0	8.91033e-08	0	0	0	0	4.255e-08	1.3256e-07	1.66294e-07	0	1.63014e-07	1.62133e-07	0	0	3.33002e-07	0	3.68618e-06	1.57182e-07	0	0	7.64948e-08	0	3.10818e-06	0	0	0	6.8605e-08	0	0	2.17355e-07	0	0	0	0	0	0	1.13587e-07	0	5.19791e-08	2.41963e-08
