M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K00844 K12407 K00845 K25026 K00886 K08074 K00918 K01810 K06859 K13810 K15916 K00850 K16370 K21071 K00918 K01623 K01624 K11645 K16305 K16306 K01803 K00134 K00150 K00927 K11389 K01834 K15633 K15634 K15635 K01689 K00873 K12406
M00002	Glycolysis, core module involving three-carbon compounds	K01803 K00134 K00150 K00927 K11389 K01834 K15633 K15634 K15635 K01689 K00873 K12406
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	K01596 K01610 K01689 K01834 K15633 K15634 K15635 K00927 K00134 K00150 K01803 K01623 K01624 K11645 K03841 K02446 K11532 K01086 K04041 K01622
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	K13937 K00036 K19243 K01057 K07404 K00033 K01783 K01807 K01808 K00615 K00616 K01810 K06859 K13810 K15916
M00005	PRPP biosynthesis, ribose 5P => PRPP	K00948
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	K13937 K00036 K19243 K01057 K07404 K00033
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615 K00616 K13810 K01783 K01807 K01808
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036 K01057 K07404 K01690 K01625
M00009	Citrate cycle (TCA cycle, Krebs cycle)	K01647 K05942 K01681 K01682 K00031 K00030 K00164 K00658 K01616 K00382 K00174 K00175 K00177 K00176 K01902 K01903 K01899 K01900 K18118 K00234 K00235 K00236 K00237 K00239 K00240 K00241 K00242 K18859 K18860 K00244 K00245 K00246 K00247 K01676 K01679 K01677 K01678 K00026 K00025 K00024 K00116
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	K01647 K05942 K01681 K01682 K00031 K00030
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	K00164 K00658 K01616 K00382 K00174 K00175 K00177 K00176 K01902 K01903 K01899 K01900 K18118 K00234 K00235 K00236 K00237 K00239 K00240 K00241 K00242 K18859 K18860 K00244 K00245 K00246 K00247 K01676 K01679 K01677 K01678 K00026 K00025 K00024 K00116
M00012	Glyoxylate cycle	K01647 K01681 K01682 K01637 K01638 K19282 K00026 K00025 K00024
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K00248 K00232 K07511 K14729 K05605 K23146 K00140
M00014	Glucuronate pathway (uronate pathway)	K00012 K12447 K16190 K00699 K01195 K14756 K00002 K13247 K03331 K05351 K00008 K00854
M00015	Proline biosynthesis, glutamate => proline	K00931 K00147 K12657 K00286
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	K00928 K12524 K12525 K12526 K00133 K01714 K00215 K00674 K00821 K14267 K01439 K01778 K01586 K12526
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	K00928 K12524 K12525 K00133 K00003 K12524 K12525 K00651 K00641 K01739 K01760 K14155 K00548 K24042 K00549
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	K00928 K12524 K12525 K12526 K00133 K00003 K12524 K12525 K00872 K02204 K02203 K01733
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	K01652 K01653 K11258 K00053 K01687 K00826
M00020	Serine biosynthesis, glycerate-3P => serine	K00058 K00831 K01079 K02203 K22305 K25528
M00021	Cysteine biosynthesis, serine => cysteine	K00640 K23304 K01738 K13034 K17069
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	K01626 K03856 K13853 K01735 K13829 K03785 K03786 K00014 K13832 K13830 K00891 K13829 K00800 K24018 K13830 K01736
M00023	Tryptophan biosynthesis, chorismate => tryptophan	K01657 K01658 K13503 K13501 K01656 K00766 K13497 K01817 K24017 K01656 K01609 K13498 K13501 K01695 K01696 K06001 K01694
M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	K01850 K04092 K14187 K04093 K04516 K06208 K06209 K01713 K04518 K05359 K14170 K00832 K00838
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	K01850 K04092 K14170 K04093 K04516 K06208 K06209 K04517 K00211 K14187 K00832 K00838
M00026	Histidine biosynthesis, PRPP => histidine	K00765 K02502 K01523 K01496 K11755 K14152 K01814 K24017 K02501 K02500 K01663 K01693 K00817 K04486 K05602 K18649 K01089 K00817 K00013 K14152
M00027	GABA (gamma-Aminobutyrate) shunt	K01580 K13524 K07250 K00823 K16871 K00135 K00139 K17761
M00028	Ornithine biosynthesis, glutamate => ornithine	K00618 K00619 K14681 K14682 K00620 K22477 K22478 K00930 K22478 K00145 K12659 K00818 K00821 K01438 K14677 K00620
M00029	Urea cycle	K01948 K00611 K01940 K01755 K14681 K01476
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine	K01655 K17450 K01705 K05824 K00838 K00143 K00293 K24034 K00290
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	K05826 K05827 K05828 K05829 K05830 K05831
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	K14157 K14085 K00825 K15791 K00658 K00382 K00252 K07514 K07515 K07511 K00022
M00033	Ectoine biosynthesis, aspartate => ectoine	K00928 K00133 K00836 K06718 K06720
M00034	Methionine salvage pathway	K00789 K01611 K00797 K01243 K01244 K00899 K00772 K05810 K08963 K16054 K08964 K09880 K08965 K08966 K08967 K00815 K08969 K23977 K00832 K00838
M00035	Methionine degradation	K00789 K00558 K17398 K17399 K01251 K01697 K10150
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	K00826 K00166 K00167 K11381 K09699 K00382 K00253 K00249 K01968 K01969 K05607 K13766 K01640
