K04027	CAG0001 CAG0006 CAG0058 
K21687	CAG0001 CAG0004 CAG0013 CAG0016 CAG0018 CAG0027 CAG0030 CAG0045 CAG0055 CAG0065 CAG0072 
K08681	CAG0001 CAG0003 CAG0004 CAG0006 CAG0008 CAG0010 CAG0014 CAG0016 CAG0018 CAG0024 CAG0026 CAG0033 CAG0035 CAG0037 CAG0044 CAG0051 CAG0053 CAG0055 CAG0056 CAG0057 CAG0061 CAG0065 CAG0072 CAG0074 CAG0075 CAG0078 CAG0079 CAG0080 
K10761	CAG0001 CAG0005 CAG0010 CAG0018 CAG0026 CAG0042 
K09691	CAG0001 CAG0005 CAG0011 CAG0012 CAG0014 CAG0018 CAG0020 CAG0031 CAG0036 CAG0039 CAG0048 CAG0051 CAG0073 
K03270	CAG0001 CAG0002 CAG0003 CAG0005 CAG0007 CAG0011 CAG0015 CAG0017 CAG0019 CAG0020 CAG0021 CAG0025 CAG0028 CAG0033 CAG0046 CAG0063 CAG0064 CAG0066 CAG0068 CAG0089 CAG0091 CAG0101 
K03286	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0007 CAG0009 CAG0011 CAG0013 CAG0014 CAG0015 CAG0017 CAG0018 CAG0019 CAG0020 CAG0021 CAG0022 CAG0023 CAG0024 CAG0025 CAG0028 CAG0029 CAG0030 CAG0032 CAG0034 CAG0036 CAG0038 CAG0039 CAG0040 CAG0043 CAG0046 CAG0048 CAG0050 CAG0066 CAG0068 CAG0069 CAG0070 CAG0073 CAG0074 CAG0081 CAG0082 CAG0084 CAG0087 CAG0090 CAG0091 CAG0093 CAG0105 
K21344	CAG0001 CAG0002 CAG0007 CAG0021 
K02568	CAG0001 CAG0014 CAG0021 CAG0022 CAG0023 
K07648	CAG0001 CAG0023 CAG0025 CAG0038 
K07674	CAG0001 CAG0023 
K00817	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0012 CAG0013 CAG0014 CAG0015 CAG0016 CAG0017 CAG0019 CAG0021 CAG0022 CAG0024 CAG0025 CAG0026 CAG0027 CAG0028 CAG0029 CAG0030 CAG0031 CAG0032 CAG0033 CAG0034 CAG0035 CAG0036 CAG0037 CAG0040 CAG0043 CAG0045 CAG0049 CAG0050 CAG0051 CAG0052 CAG0055 CAG0057 CAG0064 CAG0065 CAG0067 CAG0069 CAG0070 CAG0072 CAG0073 CAG0074 CAG0075 CAG0079 CAG0080 CAG0082 CAG0084 CAG0085 CAG0086 CAG0087 CAG0090 CAG0093 CAG0095 CAG0101 CAG0105 
K03522	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0011 CAG0012 CAG0013 CAG0015 CAG0016 CAG0017 CAG0019 CAG0020 CAG0021 CAG0022 CAG0023 CAG0025 CAG0026 CAG0027 CAG0028 CAG0029 CAG0030 CAG0032 CAG0033 CAG0034 CAG0035 CAG0036 CAG0037 CAG0040 CAG0043 CAG0045 CAG0046 CAG0048 CAG0050 CAG0051 CAG0054 CAG0055 CAG0057 CAG0059 CAG0062 CAG0063 CAG0064 CAG0065 CAG0067 CAG0072 CAG0081 CAG0082 CAG0089 CAG0090 CAG0091 CAG0096 CAG0097 CAG0101 CAG0105 
