species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	0.0074760242952293	0.00234184983467999	0.00487473967856448	0.00983505208409412	0.00647938541734517	0.00620141026198261	1	0.00280898226859184
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_capitis	0.00792716093768577	0.00132704788915207	0.00448935824883716	0.00705868912581702	0.00965438229679884	0.00609132769965817	2	0.00325061909884225
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_tuberculostearicum	0.00684824373918949	0.00401665131696804	0.0081732300371078	0.00569766565055576	0.00273406542034665	0.00549397123283355	3	0.00217103243902387
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Dolosigranulum.s__Dolosigranulum_pigrum	0.0062196052101462	0.00134059032597004	0.00404292639996124	0.00661585020416045	0.00737068511058211	0.00511793145016401	4	0.00244725798333682
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0.00314042750865465	0.00791776149498679	0.00665923844968581	0.002627059351357	0.00502658210088254	0.00507421378111336	5	0.00225435299635203
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	0.0029474738147578	0.00544185005218416	0.00521124578389548	0.00443259111125668	0.00558584441943654	0.00472380103630613	6	0.00108817015948974
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Retroviridae_unclassified.s__Human_endogenous_retrovirus_K	0.0031217960847442	0.00688580385011168	0.00399437030898315	0.00490144317920267	0.00432306981739187	0.00464529664808671	7	0.00140837430780953
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	0.00732864396561635	0.00458876582983473	0.00352647478193473	0.0037112166999465	0.00360074692566626	0.00455116964059971	8	0.00161048136689931
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Anaerococcus.s__Anaerococcus_octavius	0.00760361309624891	-0.000736714694585304	0.00570337765582266	0.00487777877104766	0.00303205590275238	0.00409602214625726	9	0.00316169649741844
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_matruchotii	0.00428245578750748	0.00451392513794128	0.00267959518270031	0.00339663959249855	0.00497614964864465	0.00396975306985845	10	0.000921914683529217
k__Eukaryota.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	0.00484625780609931	0.00116147133252261	0.00171185892364346	0.00483679276738105	0.00717563177308569	0.00394640252054642	11	0.00248894971325953
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_kefirresidentii	0.00696503119071068	0.00196912280489538	0.00176218070375692	0.00543758761896037	0.00293709730528722	0.00381420392472212	12	0.002288423405906
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mitis	0.00476182468006132	0.00271545018879116	0.00301709538197966	0.00308285973249974	0.00510845032212658	0.00373713606109169	13	0.00110915144184123
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae	0.0055895791078694	0.000757782892414141	0.00479163135122489	0.00517057172096982	0.00233249577464747	0.00372841216942515	14	0.00208850559348428
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	0.00443168501534288	0.00234428971825066	0.00449511988601613	0.00304075274099105	0.00422207717818217	0.00370678490775658	15	0.000963388591960644
