species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	0.266711214005152	0.0703224044677034	0.185132454366032	0.105944501169678	0.0774418976111251	0.141110494323938	1	0.0836880587326907
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_johnsonii	0.0832057732976176	0.0802326438665425	0.0957117608733367	0.123519494905442	0.121868613187004	0.100907657225989	2	0.0207271988518461
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	0.203457816170868	0.106356096513335	0.0817236227166841	0.0172615838836199	0.0772293706938932	0.0972056979956801	3	0.0678289246898415
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0.135019101247283	0.10925619147804	0.0773780320485482	0.076309530789808	0.0764151328512406	0.094875597682984	4	0.0265045032076279
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_lwoffii	0.0470675672060438	0.0455611280075554	0.136584223258749	0.11394210833441	0.062045050185706	0.0810400153984927	5	0.041657514737768
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	0.091228239918688	0.0893113746734318	0.0875808295348423	0.0868650770966029	0.0490347736365702	0.080804058972027	6	0.0178394648150193
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Retroviridae_unclassified.s__Human_endogenous_retrovirus_K	0.0876745452524058	0.0896823324009157	0.0342803102817826	0.0531272499832093	0.113346841800268	0.0756222559437162	7	0.0315486511989359
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	0.148442006504103	0.0433367451532836	0.0305170763971106	0.0730413633881729	0.0814174233742034	0.0753509229633748	8	0.0458787106526742
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_acnes	0.0652083770420274	0.0784760731466747	0.0787817399308709	0.0627287068228383	0.0766580444264527	0.0723705882737728	9	0.00776249378432461
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_capitis	0.124773446423638	0.0458719489153141	0.0383616332604912	0.057089565586283	0.094357018162417	0.0720907224696286	10	0.0364738522112147
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas.s__Brevundimonas_vesicularis	0.0395697210567808	0.0821882087722968	0.007035703364447	0.138211368280556	0.0880166241632455	0.0710043251274651	11	0.0500284996891424
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa	0.124216697443473	0.0151056513905322	0.0460052287665015	0.072709218839737	0.0955280813793252	0.0707129755639137	12	0.0423823960281274
k__Eukaryota.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	0.0798487103217867	0.0643572132663586	0.0788151180829213	0.0582073353450701	0.027705779856041	0.0617868313744356	13	0.0211962953533701
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus.s__Paracoccus_sphaerophysae	0.0661083502244615	0.0729161740104641	0.0370556327659133	0.0248045202316654	0.0842874266840041	0.0570344207833017	14	0.0250759400217991
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_aerogenes	0.0615637175151511	0.0875946233986525	0.0464865217238655	0.0469533727863196	0.0415627066621738	0.0568321884172325	15	0.0187516376902021
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_aeria	0.0515545885442822	0.0268111723991484	0.0232653629338032	0.033156861812954	0.114682811487124	0.0498941594354624	16	0.0378232094250558
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Myoviridae.g__Myoviridae_unclassified.s__Rhizobium_phage_RR1_B	0.104557449119458	0.0815084500452901	0.0117921152756177	0.00984470306900031	0.0313124989916992	0.047803043300213	17	0.0429146758278528
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Micrococcus.s__Micrococcus_luteus	0.0310473491213267	0.0594986921952715	0.04747850501335	0.0758255858312219	0.0218369600740011	0.0471374184470342	18	0.0216502419234717
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa	0.0477901408340527	0.0311144980444022	0.0512767016006194	0.0367731571476858	0.04893721750559	0.04317834302647	19	0.00875470570283379
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_accolens	0.0681794965076345	0.0283737271292448	0.0578833969323289	0.0227015359262851	0.0342592571873942	0.0422794827365775	20	0.0197185376596909
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mitis	0.0353476411368659	0.0332149264211242	0.0259933843636073	0.0522661835745123	0.051939455828436	0.0397523182649092	21	0.0117958687874304
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	0.0429673920103943	0.0471006645260115	0.0197098756728306	0.0393834821213333	0.038255099101215	0.0374833026863569	22	0.0105198614993866
