species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_acnes	0.119463003437376	0.0969761623927158	0.0708132298317271	0.0993056094333915	0.11196536946393	0.099704674911828	1	0.018594594709639
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	0.102142700880592	0.0423424056836949	0.0562523744211	0.0966035192421877	0.12285118744534	0.0840384375345828	2	0.0335510788228639
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0.115780115143777	0.0423643475393484	0.0428528825795696	0.102287897623124	0.0886696900928531	0.0783909865957344	3	0.0340423875285562
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_johnsonii	0.0715061373519306	0.0417770905864872	0.0629147063227547	0.0681722258913108	0.0895453116563768	0.066783094361772	4	0.0171946213137279
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Retroviridae_unclassified.s__Human_endogenous_retrovirus_K	0.0905924310579233	0.0323394594395172	0.0671029752854787	0.0502593173022259	0.0569084427016615	0.0594405251573613	5	0.0215309554217174
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillales_unclassified.g__Gemella.s__Gemella_haemolysans	0.102255286274026	0.0503319003840326	0.0387471413120061	0.0246672562675648	0.0721840298132206	0.05763712281017	6	0.030412180083711
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_parvus	0.0293089992470284	0.0601635218362877	0.0661584462975921	0.0640118265815378	0.0651232091857662	0.0569532006296424	7	0.0156190414260572
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mitis	0.0648874733552635	0.036119855432868	0.038298048660979	0.0697910988021416	0.0715488574441646	0.0561290667390833	8	0.0174602727264879
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_dentocariosa	0.0890818265379548	0.0467247549317297	0.0385630244724921	0.0117838207222254	0.0619193623768327	0.0496145578082469	9	0.0285951286702044
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Gammaretrovirus.s__Porcine_type_C_oncovirus	0.0223467351298316	0.0625734744031433	0.0458473499568933	0.0481651605925623	0.061893758068557	0.0481652956301975	10	0.0163404194786142
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales.f__Peptoniphilaceae.g__Finegoldia.s__Finegoldia_magna	0.0191981386187257	0.0647711132098527	0.0491099715856688	0.0384101374122709	0.0640012524305623	0.0470981226514161	11	0.0190787062210956
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_capitis	0.0369323461493224	0.0390551825633214	0.0135693086557922	0.0872590107727112	0.0581016332197979	0.046983496272189	12	0.0275050983846175
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_striatum	0.0390867577672266	0.0664517587826791	0.0459679666045617	0.0060531503167469	0.0543144206852817	0.0423748108312992	13	0.0227224491968639
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	0.0239010254990161	0.0243402032313055	0.0546253371913333	0.0559335617010207	0.0431599792937473	0.0403920213832846	14	0.0156636694022564
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Viruses_unclassified.f__Papillomaviridae.g__Betapapillomavirus.s__Betapapillomavirus_4	0.0264343502775316	0.0234509184489083	0.053621391496948	0.0641012003994565	0.00500427761229249	0.0345224276470273	15	0.0239738957546146
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	0.0383071790582208	0.0546633099416011	0.023223055850899	0.0376674256488361	0.0186554188585262	0.0345032778716166	16	0.0142241557973734
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_accolens	0.028463949226911	0.0322937491790414	0.0303464248218022	0.042479702362024	0.0294672233688823	0.0326102097917322	17	0.005694330373936
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_bivia	0.0297417845994305	0.0131585905869367	0.0347404239310675	0.0167788856669344	0.0636731557510929	0.0316185681070924	18	0.0200109459678735
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	0.0281789815001132	0.0240298113223345	0.0379134558796805	0.0279360953087686	0.0368601187358692	0.0309836925493532	19	0.00608409240704706
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_parvula	0.0248908486034802	0.0236139108835614	0.0316208810704431	0.0432349612688065	0.0282665128396203	0.0303254229331823	20	0.00786054220036669
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Lautropia.s__Lautropia_mirabilis	0.0177275988700843	0.0372044037633161	0.0436121841197546	0.0277911723105663	0.0208967709637744	0.0294464260054991	21	0.0108860265638936
