species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	0.0241333382804063	0.0305245803309373	0.0252057302128846	0.0331238332223899	0.0311856017628687	0.0288346167618973	1	0.00393863307920944
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	0.0110366307261582	0.01240703448653	0.00982712925966291	0.0123446089538251	0.0136264255975101	0.0118483658047373	2	0.00145466281270334
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_acnes	0.00917627701557704	0.0113689905334643	0.0107985710021387	0.00836998752530004	0.0116289735989985	0.0102685599350957	3	0.00142655561944293
k__Eukaryota.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	0.00943063440928752	0.00780362882945503	0.00862509501475684	0.0137105421552409	0.00908182070532425	0.00973034422281291	4	0.00230684808371044
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_oralis	0.00328549144487916	0.00454670851127625	0.00276901401095921	0.00496467737544287	0.00346260714046234	0.00380569969660397	5	0.000915883407090111
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus.s__Haemophilus_parainfluenzae	0.00618658235065001	0.00221898888675281	0.000958346603459612	0.00391846910211736	0.00373436135859446	0.00340334966031485	6	0.00196863222709672
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	0.00518515296449595	0.00358043754454073	0.00104881565162937	0.00359158890359909	0.00329223140002232	0.00333964529285749	7	0.00148134259878528
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_sicca	0.00380008449638522	0.00257739364672329	0.000627268849238366	0.00408634587927974	0.00487956722420794	0.00319413201916691	8	0.00165628111747343
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_iners	0.00348648951754512	0.00389527927547902	0.00288412519529807	0.00127883333190586	0.00309089582167661	0.00292712462838094	9	0.000999468190209386
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_pneumoniae	0.0024274864224118	0.000985973713749586	0.00471109554818645	0.00353562654962486	0.00236439812020875	0.00280491607083629	10	0.00139754414120104
