species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	0.0113218150325975	0.00444842591562374	0.010268050268013	0.00786536869946871	0.00480111508277671	0.00774095499969592	1	0.00311077379222783
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Viruses_unclassified.f__Papillomaviridae.g__Alphapapillomavirus.s__Alphapapillomavirus_2	0.00966068654591902	0.00981180261796734	0.00392663200560425	0.00379150543232616	0.00976845488855511	0.00739181629807437	2	0.00322576570330954
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mitis	0.00848212612263034	0.00825365142394255	0.00457315508099011	0.00837876890769121	0.00525351394510888	0.00698824309607262	3	0.00191104958817504
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	0.00567399385591293	0.00459690073573895	0.00348732816711645	0.00490946654526338	0.00696479082434627	0.0051264960256756	4	0.00129359246634698
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_pallens	0.0036411494822174	0.000447942629597218	0.00564522824209134	0.0112640639114589	0.00338839896477696	0.00487735664602836	5	0.00402320047163061
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Viruses_unclassified.f__Papillomaviridae.g__Betapapillomavirus.s__Betapapillomavirus_1	0.00559485161252569	0.00182480162060843	0.00384718184153259	0.00528721727085923	0.00743535683473515	0.00479788183605222	6	0.00209606302434411
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_pseudogenitalium	0.00459034407874975	0.00400414065023995	0.000729271780338842	0.00788250923304212	0.00618184656410963	0.00467762246129606	7	0.00267323108507742
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0.00524764977377156	0.00477441464482814	0.00776290240176128	0.00406801853680246	0.00144216105887349	0.00465902928320739	8	0.00227438733919517
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_flavescens	0.00950073372374281	0.00503237394004961	0.00255969611355235	0.00342624622061935	0.00233468022813988	0.0045707460452208	9	0.00295262894884191
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	0.00663240090473213	0.00354562391388817	0.00430168528327782	0.00477371567320976	0.00321318587309479	0.00449332232964053	10	0.00134423621154073
