species	1	2	3	4	5	mean	rank	sd
Pore	23.2697465395231	27.4810261167061	25.7152644643421	25.8927359010248	29.1425261055793	26.3002598254351	1	2.18889199935737
Pigment	26.587581873513	22.8161799896964	24.7889319532486	25.7236741131676	26.6609179255623	25.3154571710376	2	1.59050481031942
Ultravioletspot	21.8987470343746	21.5988366212979	23.4224792164734	24.5743579358514	18.8336894439406	22.0656220503876	3	2.16944355726114
Wrinkle	11.4737897891214	9.73927328352284	8.84266143948257	9.94269091285706	9.10963879502395	9.82161084400156	4	1.02669144083925
Grease	7.53617420933445	7.67145015971127	6.94229563340695	7.43470626826044	7.2520499979403	7.36733525373068	5	0.282613115236768
Whitening	6.47624272806756	6.31103854707087	4.19752177261507	6.44944883823124	5.66128928175995	5.81910823354894	6	0.96509065985884
Poryphyrins	2.82592979893459	1.44997134015403	3.2853791426102	3.15655189085606	3.76457965954778	2.89648236642053	7	0.876048169950594
Melanin	2.60824902088472	3.55279141383864	2.27287733383733	2.95995578750998	2.09314925383578	2.69740456198129	8	0.581789559833038
Texture	2.29622893042943	3.16224276470532	2.05069047831397	3.07011801694766	2.71886013763266	2.65962806560581	9	0.481532940442258
Hemoglobin	1.0071126124867	1.62270554509858	0.482949477496247	1.01356712548682	0.712890871043247	0.96784512632232	10	0.427960298185608
