feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_pseudogenitalium	Lightening	Lightening	-1.61032509392425	0.210703225704982	246	64	5.39739037782152e-13	2.53677347757612e-10
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus.s__Paracoccus_sphaerophysae	Lightening	Lightening	-1.76476697689981	0.345446751977876	246	76	6.97639358371e-07	0.000163945249217185
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Retroviridae_unclassified.s__Human_endogenous_retrovirus_K	Grease	Grease	-0.703109980005985	0.161176281950458	246	246	1.9317764779085e-05	0.00302644981538999
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_parvus	Lightening	Lightening	-1.11713342676852	0.265906605160959	246	53	3.84802354379625e-05	0.0045214276639606
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mitis	Grease	Grease	-1.13294403977403	0.292737232379348	246	163	0.00014109744831026	0.0102957079935432
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_oralis	UVspot	UVspot	1.41609768029943	0.371340962258201	246	112	0.000175246093507118	0.0102957079935432
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_lwoffii	Hemoglobin	Hemoglobin	0.881213745115132	0.229794862205984	246	58	0.000161745635717278	0.0102957079935432
k__Eukaryota.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	Lightening	Lightening	-0.931398648640304	0.238963438431339	246	240	0.000128045273851333	0.0102957079935432
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	Pore	Pore	1.16803992591929	0.308242820156963	246	206	0.000216901944469825	0.0113271015445353
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_matruchotii	Grease	Grease	-0.889981372246458	0.245986201111247	246	70	0.000363726214393055	0.0160004543485299
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_flavescens	Grease	Grease	-1.06442971940494	0.294869692792195	246	78	0.00037447871879538	0.0160004543485299
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Rothia.s__Rothia_mucilaginosa	Grease	Grease	-1.17977470226529	0.333072442154956	246	76	0.000479066102937367	0.0173200821831202
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_parvus	Grease	Grease	-0.735127012829654	0.206219500459061	246	53	0.000443444324056548	0.0173200821831202
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	Grease	Grease	0.81137266790347	0.231633809988919	246	124	0.000552205439355071	0.0178111221919948
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_capitis	Lightening	Lightening	-1.32781052358028	0.381959221516023	246	204	0.000606336074621098	0.0178111221919948
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_sanguinis	Grease	Grease	-1.09632520669512	0.314626742022663	246	82	0.000588005532833125	0.0178111221919948
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_sanguinis	UVspot	UVspot	1.6429722502293	0.48327093482613	246	82	0.000797192753634485	0.022040034953424
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Haemophilus.s__Haemophilus_parainfluenzae	Grease	Grease	-0.836143163588744	0.247960376494349	246	98	0.000872478450838959	0.0227813817719062
