species	1	2	3	4	5	mean	rank	sd
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_pseudogenitalium	4.05032746892673	4.86670814305155	4.00935000604609	4.38986490810226	3.70413548532757	4.20407720229084	1	0.443028277063425
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_granulosum	4.34021609617944	3.80076782246034	3.38207433572661	3.60697424893754	2.98856691703763	3.62371988406831	2	0.501698383821306
k__Eukaryota.p__Basidiomycota.c__Malasseziomycetes.o__Malasseziales.f__Malasseziaceae.g__Malassezia.s__Malassezia_restricta	3.03771899366531	2.74978648259345	2.12718684019989	2.82182352028698	1.89217875073378	2.52573891749588	3	0.489956438128721
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Propionibacterium_namnetense	1.75460859518397	1.14652750676234	2.55349128864222	2.45496781462431	2.38378709488606	2.05867646001978	4	0.598343224373888
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus.s__Paracoccus_sphaerophysae	1.26762330836825	1.16192454905315	1.16595483420288	0.763119652525511	0.883533887977333	1.04843124642542	5	0.214086155484801
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	1.14353087407283	0.846197492660593	1.14489015682784	1.13985628630336	0.875503379074199	1.02999563778776	6	0.154765935068599
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Moraxella.s__Moraxella_osloensis	1.0939888074817	0.733979482860198	1.075708559939	0.706814131972152	1.34732173302239	0.991562543055085	7	0.269984714179167
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_acnes	0.776339229593812	0.654721293045843	1.41562009564193	0.883270362369594	0.932279061559997	0.932446008442234	8	0.290420305128453
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillales_unclassified.g__Enhydrobacter.s__Enhydrobacter_aerosaccus	0.626953013210758	0.970608811241531	1.03400805691448	1.09566432928885	0.86376158024661	0.918199158180447	9	0.184010955222452
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_capitis	0.975903857047288	0.345354728355885	1.09973443860276	0.888068574926841	0.537857556631231	0.769383831112801	10	0.315940346092154
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter.s__Acinetobacter_parvus	1.10712669835345	0.776013961053043	0.684600264569097	0.34245349596898	0.721761382690475	0.726391160527009	11	0.272304065425992
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_hadale	0.462900057728048	1.38017147879735	0.481314045532093	0.335296386598701	0.667337364323041	0.665403866595846	12	0.416762606600271
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_tuberculostearicum	1.14754384406384	0.498983811395086	0.498600174929762	0.462940232974069	0.66901866687619	0.65541734604779	13	0.28656761896471
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Viruses_unclassified.f__Papillomaviridae.g__Betapapillomavirus.s__Betapapillomavirus_5	0.608810309150846	0.660181061991884	0.208298398441824	0.757092451065447	0.459545568272209	0.538785557784442	14	0.213774982357596
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_oralis	0.760124309207723	0.238563999368984	0.3208912090394	0.826054314424159	0.523903391939597	0.533907444795973	15	0.259435739492447
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_iners	0.521855313945631	0.0515546877974765	0.450104728743924	0.910156101788394	0.460883436933002	0.478910853841685	16	0.304796966762216
